Type,Date,Address,Hotel
Theft,04/01/18 11:00 PM,900 BLOCK OF 2ND AVE,San Francisco Marriott Marquis
Assault,04/01/18 11:00 PM,N/A,San Francisco Marriott Marquis
Theft,04/01/18 10:00 PM,300-302 W 47TH ST,San Francisco Marriott Marquis
Theft,04/01/18 10:00 PM,100 BLOCK OF E 51ST ST,San Francisco Marriott Marquis
Theft,04/01/18 09:00 PM,239-243 LEXINGTON AVE,San Francisco Marriott Marquis
Theft,04/01/18 09:00 PM,300 BLOCK OF 8TH AVE,San Francisco Marriott Marquis
Assault,04/01/18 08:00 PM,100 BLOCK OF W 45TH ST,San Francisco Marriott Marquis
Assault,04/01/18 08:00 PM,N/A,San Francisco Marriott Marquis
Theft,04/01/18 07:00 PM,400 BLOCK OF 7TH AVENUE,San Francisco Marriott Marquis
Theft,04/01/18 07:00 PM,500 BLOCK OF MADISON AVENUE,San Francisco Marriott Marquis
Theft,04/01/18 07:00 PM,N/A,San Francisco Marriott Marquis
Theft,04/01/18 06:00 PM,N/A,San Francisco Marriott Marquis
Theft,04/01/18 06:00 PM,1300 BLOCK OF BROADWAY,San Francisco Marriott Marquis
Theft,04/01/18 06:00 PM,1900 BLOCK OF BROADWAY,San Francisco Marriott Marquis
Theft,04/01/18 05:00 PM,N/A,San Francisco Marriott Marquis
Theft,04/01/18 05:00 PM,00 BLOCK OF UNKNOWN,San Francisco Marriott Marquis
Theft,04/01/18 05:00 PM,N/A,San Francisco Marriott Marquis
Theft,04/01/18 05:00 PM,N/A,San Francisco Marriott Marquis
Assault,04/01/18 01:00 PM,00 BLOCK OF W 21ST ST,San Francisco Marriott Marquis
Theft,04/01/18 11:00 AM,100 BLOCK OF E 31ST ST,San Francisco Marriott Marquis
Theft,04/01/18 09:00 AM,300 BLOCK OF W 39TH ST,San Francisco Marriott Marquis
Burglary,04/01/18 08:00 AM,100 BLOCK OF E 31ST ST,San Francisco Marriott Marquis
Theft,04/01/18 06:00 AM,700 BLOCK OF LEXINGTON AVENUE,San Francisco Marriott Marquis
Theft,04/01/18 06:00 AM,169-171 5TH AVE,San Francisco Marriott Marquis
Theft,04/01/18 05:00 AM,N/A,San Francisco Marriott Marquis
Assault,04/01/18 05:00 AM,00 BLOCK OF MADISON AVE,San Francisco Marriott Marquis
Burglary,04/01/18 05:00 AM,400 BLOCK OF 7TH AVENUE,San Francisco Marriott Marquis
Theft,04/01/18 04:00 AM,900 BLOCK OF 6TH AVE,San Francisco Marriott Marquis
Theft,04/01/18 03:00 AM,100 BLOCK OF W 39TH ST,San Francisco Marriott Marquis
Theft,04/01/18 02:00 AM,800 BLOCK OF 8TH AVE,San Francisco Marriott Marquis
Theft,04/01/18 01:00 AM,800 BLOCK OF 7TH AVE,San Francisco Marriott Marquis
Theft,04/01/18 01:00 AM,239-243 LEXINGTON AVE,San Francisco Marriott Marquis
Theft,04/01/18 01:00 AM,00 BLOCK OF W 34TH ST,San Francisco Marriott Marquis
Theft,04/01/18 12:00 AM,N/A,San Francisco Marriott Marquis
Assault,04/01/18 12:00 AM,400 BLOCK OF W 37TH ST,San Francisco Marriott Marquis
Theft,04/01/18 12:00 AM,800 BLOCK OF 11TH AVE,San Francisco Marriott Marquis
Assault,04/01/18 12:00 AM,600 BLOCK OF MADISON AVE,San Francisco Marriott Marquis
Theft,03/31/18 11:00 PM,N/A,San Francisco Marriott Marquis
Theft,03/31/18 11:00 PM,N/A,San Francisco Marriott Marquis
Theft,03/31/18 11:00 PM,400 BLOCK OF 7TH AVENUE,San Francisco Marriott Marquis
Theft,03/31/18 10:00 PM,00 BLOCK OF W 58TH ST,San Francisco Marriott Marquis
Theft,03/31/18 10:00 PM,100 BLOCK OF E 51ST ST,San Francisco Marriott Marquis
Theft,03/31/18 10:00 PM,N/A,San Francisco Marriott Marquis
Theft,03/31/18 10:00 PM,200 BLOCK OF W 50TH ST,San Francisco Marriott Marquis
Robbery,03/31/18 10:00 PM,7TH AVE,San Francisco Marriott Marquis
Robbery,03/31/18 09:00 PM,N/A,San Francisco Marriott Marquis
Theft,03/31/18 09:00 PM,300 BLOCK OF W 45TH ST,San Francisco Marriott Marquis
